state,incentive_score,has_dc_tax_exemption,transparency_score,source_notes
MT,0.5,True,0,"Property tax reduction (Class 17) for 25K+ sq ft, $50M investment. No sales tax statewide. Limited scope. No disclosure. (StreamDC)"
NE,0.5,True,0,"Sales/use tax exemption on equipment/software/construction. LB 1131 (2026) would eliminate personal property tax exemption. No disclosure. (StreamDC; MultiState)"
NV,0.75,True,2,"Sales/use tax abatement to 2%; up to 75% personal property tax abatement, 10-20yr. $25M-$100M thresholds. Discloses via legislature reports. (StreamDC; H5Data; GJF Cloudy Data)"
NH,0.5,False,0,"No statewide sales tax (natural advantage). No DC-specific incentive. HB 1739 (2026) would create new incentives. (StreamDC; MultiState)"
NJ,0.5,True,0,"Next NJ Program - AI: up to $250M in tax credits for large-scale projects. New/evolving program. No disclosure. (StreamDC; WebSearch)"
NM,0.5,False,0,"No DC-specific incentive. Expansion proposals under consideration in 2026. (StreamDC; MultiState)"
NY,0.5,True,0,"Sales tax exemption for Internet data center equipment. Moratorium bill introduced 2026. No disclosure. (StreamDC; H5Data; WebSearch)"
NC,0.75,True,0,"Sales/use tax exemption on equipment and electricity. $75M-$225M investment thresholds (varies by county). No disclosure despite other programs being disclosed. (StreamDC; H5Data; GJF Cloudy Data)"
ND,0.5,True,0,"Sales/use tax exemption for enterprise IT equipment. 15K+ sq ft, 50%+ data-processing area. Limited scope. No disclosure. (StreamDC)"
OH,0.75,True,2,"Sales tax abatement for $100M+ investment, $1.5M+ annual payroll. No tangible personal property tax. Data Center Act. Discloses via tax incentives portal. (StreamDC; H5Data; GJF Cloudy Data)"
OK,0.5,True,0,"Sales tax exemption for equipment; majority revenue from out-of-state required. Moratorium bill introduced 2026. No disclosure. (StreamDC; H5Data)"
OR,0.5,False,0,"No statewide sales tax. Enterprise Zone abatements, Strategic Investment Program. Not DC-specific. (StreamDC)"
PA,0.75,True,2,"Computer Data Center Equipment Program (Act 25/2021): sales/use tax exemption. Keystone Opportunity Zones for state/local breaks. Discloses via tax credit reporting. (StreamDC; PA.gov; GJF Cloudy Data)"
RI,0.25,False,0,"No DC-specific incentive. High energy costs, limited suitable land. (StreamDC; WebSearch)"
SC,0.75,True,0,"Sales/use tax exemption on equipment/electricity. $50M investment, 25 jobs at 150% county per capita income. Moratorium bill introduced 2026. No disclosure. (StreamDC; H5Data)"
SD,0.25,False,0,"No DC-specific incentive. SB 135 (2026) would prohibit any tax incentives to data centers. No sales tax. (StreamDC; MultiState)"
TN,0.75,True,0,"Sales/use tax exemption on equipment/infra; 1.5% reduced electricity tax. $100M-$250M investment, 15 jobs at 150% state avg wage. No disclosure. (StreamDC; H5Data)"
TX,1.0,True,1,"Sales tax exemption on equipment and electricity. $200M+ investment, 100K+ sq ft, 20+ employees. $1B+ in subsidies FY2025. Most aggressive recruitment. Discloses company names only (no amounts/jobs/locations). (StreamDC; NCSL; CNBC; GJF Cloudy Data)"
UT,0.5,True,0,"Sales/use tax exemption on machinery/equipment. 150K+ sq ft min. EDTIF and infrastructure credits. General incentive programs. No disclosure. (StreamDC)"
VT,0.25,False,0,"No DC-specific incentive. High energy costs, limited infrastructure, moratorium bill introduced 2026. (StreamDC; WebSearch)"
VA,1.0,True,0,"Sales/use tax exemption since 2010. Largest DC market globally. ~$1.6B annually in tax relief. Very aggressive recruitment. Moratorium and reform bills introduced 2026. No disclosure despite massive subsidies. (NCSL; GJF Cloudy Data; MultiState)"
WA,0.75,True,2,"Sales/use tax exemption on servers, power infra, installation. Rural and urban counties. Tax break repeal bill advancing (2026). Discloses via tax exemption portal. (StreamDC; H5Data; GJF Cloudy Data; OPB)"
WV,0.75,True,0,"New 2025 legislation: sales/use tax exemption; equipment valued at salvage (~5%) for property tax. Aggressive new entrant. No disclosure. (StreamDC; H5Data)"
WI,0.5,True,2,"State sales/use tax exemption (WEDC certified). $50M-$150M thresholds by county population. Moratorium bill introduced 2026. Discloses via WEDC awards data. (StreamDC; NCSL; GJF Cloudy Data)"
WY,0.5,True,0,"Sales tax exemption on computer equipment ($5M+) and power/cooling ($50M+). No income tax. Limited scope. No disclosure. (StreamDC)"
